nombre,categoria,alergenos,gramaje,esproteico,escarbohidrato,esgrasa
Scup de cualquier proteína mínimo 75% proteínas,proteina,leche,30,1,0,0
Barrita de proteínas,proteina,trigo,2,1,0,0
Soja texturizada,proteina,soja,30,1,0,0
Gelatina proteica,proteina,,250,1,0,0
Claras de huevo,proteina,huevos,200,1,0,0
Bebida de soja ligth,proteina,soja,400,1,0,0
Bebida de soja (cualquiera),proteina,soja,270,1,0,0
Bebida de soja Proteica,proteina,soja,200,1,0,0
Helado proteico,proteina,leche,80,1,0,0
Pollo (sin piel),carne,,100,1,0,0
Pavo (sin piel),carne,,100,1,0,0
Ternera (magro),carne,,100,1,0,0
Seitan,carne,trigo,90,1,0,0
Lata de pollo al natural frango,carne,,1,1,0,0
Pechuga de pollo frango,carne,,60,1,0,0
Jamón Cocido,carne,,100,1,0,0
Jamón de York Light,carne,,100,1,0,0
Hamburguesa de Pollo/Pavo,carne,,1,1,0,0
Lomo de cerdo (magro),carne,,90,1,0,0
Lomo embuchado,carne,,50,1,0,0
Hígado de cerdo,carne,,90,1,0,0
Hígado de pollo,carne,,90,1,0,0
Hígado de vaca,carne,,90,1,0,0
Embutido 90% mínimo de carne,carne,,90,1,0,0
Muslo de pollo,carne,,2,1,0,0
Alitas de pollo,carne,,2,1,0,0
Pierna de pollo,carne,,1,1,0,0
Huevo entero XL,carne,huevos,1,1,0,0
Ternera (con grasa),carne,,70,1,0,0
Cerdo,carne,,60,1,0,0
Jamón serrano,carne,,50,1,0,0
Embutidos,carne,,40,1,0,0
Conejo,carne,,110,1,0,0
Cordero,carne,,50,1,0,0
Carne de Kebap,carne,,50,1,0,0
Banco,carne,,30,1,0,0
Chicharrón/cortezas de cerdo,carne,,20,1,0,0
Tofu,carne,soja,100,1,0,0
Paté hígado light,carne,,70,1,0,0
Salmón,pescado,pescado,50,1,0,0
Anchoa,pescado,pescado,50,1,0,0
Merluza,pescado,pescado,100,1,0,0
Pescadilla,pescado,pescado,120,1,0,0
Boquerón,pescado,pescado,70,1,0,0
Bonito,pescado,pescado,70,1,0,0
Caballa,pescado,pescado,70,1,0,0
Trucha,pescado,pescado,70,1,0,0
Corvina,pescado,pescado,70,1,0,0
Lubina,pescado,pescado,100,1,0,0
Lenguado,pescado,pescado,100,1,0,0
Rape,pescado,pescado,100,1,0,0
Sardina,pescado,pescado,50,1,0,0
Palitos de Cangrejo,pescado,marisco,100,1,0,0
Cefalópodos,pescado,marisco,120,1,0,0
Crustáceos,pescado,marisco,120,1,0,0
